BF_replication,BF_uniform,BF_BUJ,True_prob,data_length_at_stop_BF
1.92E-26,5.57E-25,1.04E-25,0.526004362,30060
4.23E-29,2.05E-27,7.16E-28,0.532102051,30060
2.51E-16,3.57E-15,1.22E-15,0.525101038,30060
1.05E-07,9.70E-07,3.27E-07,0.516981399,30060
1.54E-19,2.30E-18,8.00E-19,0.527103697,30060
0.001918467,0.0129697,0.003618231,0.516517661,30060
2.81E-27,1.01E-25,1.51E-26,0.532369305,30060
2.69E-25,5.79E-24,1.46E-24,0.531850904,30060
1.13E-42,1.65E-41,4.71E-42,0.537782006,30060
1.14E-35,1.58E-34,5.58E-35,0.53611599,30060
3.03E-12,6.72E-11,1.27E-11,0.521611069,30060
1.40E-07,1.29E-06,4.32E-07,0.520409012,30060
1.73E-14,3.06E-13,7.96E-14,0.526336528,30060
0.006458777,0.038246105,0.011122112,0.513475673,30060
3.02E-10,4.11E-09,1.13E-09,0.520402801,30060
3.25E-45,3.63E-44,1.26E-44,0.544295667,30060
8.29E-18,1.20E-16,4.18E-17,0.524169689,30060
0.000171408,0.001216636,0.000378245,0.514604898,30060
6.01E-17,8.31E-16,2.97E-16,0.523219767,30060
2.32E-12,5.20E-11,9.77E-12,0.524646242,30060
5.43E-18,7.92E-17,2.75E-17,0.524706256,30060
1.05E-07,9.70E-07,3.27E-07,0.513570718,30060
0.003552365,0.022655855,0.006404859,0.514696897,30060
8.73E-28,3.52E-26,4.69E-27,0.530317485,30060
2.38E-96,5.98E-96,2.20E-96,0.556716269,30060
9.66E-31,4.19E-29,1.48E-29,0.532752334,30060
8.02E-15,1.32E-13,3.73E-14,0.527033624,30060
1.24E-41,1.93E-40,5.29E-41,0.539752298,30060
2.07E-28,9.33E-27,3.26E-27,0.531045841,30060
9.23E-07,8.02E-06,2.65E-06,0.519965991,30060
5.08E-20,7.66E-19,2.66E-19,0.52725949,30060
5.27E-11,9.08E-10,2.07E-10,0.518367128,30060
3.05E-25,6.47E-24,1.65E-24,0.532667368,30060
2.31E-65,1.79E-64,4.20E-65,0.551807032,30060
5.61E-16,8.10E-15,2.71E-15,0.527087333,30060
1.94E-12,4.37E-11,8.21E-12,0.521729496,30060
8.22E-43,1.18E-41,3.41E-42,0.539322556,30060
9.82E-19,1.45E-17,5.04E-18,0.538555523,30060
5.64E-48,5.63E-47,2.01E-47,0.545797258,30060
2.29E-100,3.45E-100,1.29E-100,0.557010437,30060
1.06E-67,4.58E-67,1.74E-67,0.552494608,30060
7.26E-25,1.40E-23,3.93E-24,0.529216583,30060
6.81E-54,1.69E-52,5.98E-53,0.542954438,30060
1.16E-38,1.79E-37,5.33E-38,0.536496992,30060
5.28E-09,5.32E-08,1.83E-08,0.521729496,30060
0.000101471,0.000709181,0.000230865,0.51425959,30060
8.66E-14,1.76E-12,3.88E-13,0.521835794,30060
1.12E-25,2.66E-24,6.08E-25,0.531761185,30060
1.58E-39,2.51E-38,7.10E-39,0.536890185,30060
1.32E-08,1.26E-07,4.44E-08,0.515059696,30060
1.12E-25,2.66E-24,6.08E-25,0.529676371,30060
1.06E-23,1.86E-22,5.75E-23,0.528028575,30060
4.83E-29,2.33E-27,8.15E-28,0.530439826,30060
2.44E-56,9.51E-55,3.39E-55,0.542132309,30060
5.09E-65,4.31E-64,9.40E-65,0.549781833,30060
3.81E-13,8.45E-12,1.66E-12,0.522522384,30060
8.41E-21,1.28E-19,4.45E-20,0.520716663,30060
2.54E-14,4.64E-13,1.16E-13,0.521999194,30060
9.49E-11,1.51E-09,3.68E-10,0.520915919,30060
2.20E-13,4.74E-12,9.68E-13,0.52605917,30060
6.02E-13,1.35E-11,2.60E-12,0.522360996,30060
2.31E-50,2.84E-49,7.61E-50,0.542596717,30060
1.99E-41,3.12E-40,8.54E-41,0.539572187,30060
7.36E-10,8.86E-09,2.70E-09,0.52052975,30060
6.55E-50,7.45E-49,2.19E-49,0.544081652,30060
0.00011411,0.000800597,0.000257876,0.51313487,30060
1.66E-64,1.60E-63,3.13E-64,0.545275091,30060
3.98E-23,6.67E-22,2.15E-22,0.52955632,30060
7.30E-12,1.54E-10,3.00E-11,0.525616571,30060
1.22E-18,1.80E-17,6.24E-18,0.529747467,30060
6.41E-31,2.69E-29,9.48E-30,0.529613627,30060
2.54E-12,5.66E-11,1.07E-11,0.520549541,30060
0.011781124,0.037996805,0.012977623,0.506649471,92304
1.86E-22,2.94E-21,9.98E-22,0.527291093,30060
1.70E-74,5.52E-74,2.02E-74,0.553932393,30060
6.81E-54,1.69E-52,5.98E-53,0.545040752,30060
7.41E-45,8.61E-44,2.90E-44,0.54192771,30060
6.69E-12,1.42E-10,2.76E-11,0.521806933,30060
4.07E-42,6.16E-41,1.72E-41,0.534895736,30060
4.54E-10,5.84E-09,1.69E-09,0.514475395,30060
1.66E-08,1.58E-07,5.53E-08,0.517781315,30060
4.04E-24,6.56E-23,2.18E-23,0.526828783,30060
1.66E-08,1.58E-07,5.53E-08,0.520407163,30060
2.08E-08,1.97E-07,6.88E-08,0.523631645,30060
7.55E-22,1.14E-20,4.04E-21,0.524419652,30060
1.44E-25,3.33E-24,7.81E-25,0.534861301,30060
7.00E-43,9.99E-42,2.90E-42,0.542982775,30060
1.94E-67,9.29E-67,3.22E-67,0.550500321,30060
2.07E-06,1.74E-05,5.74E-06,0.516023768,30060
9.74E-38,1.43E-36,4.56E-37,0.541963279,30060
1.44E-25,3.33E-24,7.81E-25,0.536159397,30060
9.37E-29,4.41E-27,1.54E-27,0.534387824,30060
1.72E-58,9.31E-58,3.38E-58,0.546341412,30060
2.21E-90,3.29E-90,7.50E-91,0.556702317,30060
3.89E-50,4.60E-49,1.29E-49,0.545692211,30060
1.90E-29,9.27E-28,3.25E-28,0.536297668,30060
0.00340224,0.010190158,0.004398427,0.513417804,53406
2.00E-53,4.47E-52,5.90E-53,0.549025441,30060
1.45E-48,1.42E-47,5.05E-48,0.540999948,30060
3.39E-51,4.84E-50,1.08E-50,0.545371182,30060
2.19E-55,7.33E-54,2.61E-54,0.550324818,30060
0.00016179,0.001146704,0.000358246,0.516726634,30060
3.62E-47,3.71E-46,1.32E-46,0.545827165,30060
1.25E-36,1.70E-35,5.96E-36,0.535863093,30060
1.22E-10,1.88E-09,4.69E-10,0.524766342,30060
1.25E-36,1.70E-35,5.96E-36,0.536123483,30060
3.93E-38,5.88E-37,1.82E-37,0.542090569,30060
3.25E-20,4.92E-19,1.71E-19,0.52722468,30060
0.000206566,0.001598164,0.000389039,0.509460279,37836
9.29E-32,3.23E-30,4.81E-31,0.530533036,30060
0.001951239,0.004634504,0.002267572,0.512488282,68958
9.94E-63,1.57E-61,5.74E-62,0.546528299,30060
